Convocatoria;Entidad_financiadora;Acronimo;Titulo;Año;Fecha Inicio;Fecha Fin;Desde;Financiación;Dedicación;Fichero
National;Contrato privado;Aula_panda;Aula Tecnológica de I+D+i Panda Security S.L.: Proyecto de Automatización Masiva de Análisis de Software Vírico.;2007;01/02/2007;31/01/2008;01/02/2007 -- 31/01/2008;75.000,00 €;parcial;81_CERTIFICADO_Aula_Panda.pdf
Regional;Contrato privado;ClamAV;ClamAV for OSSIM. Desarrollo de Plugin antivírico para la plataforma de gestión de sistemas y redes OSSIM.;2007;01/01/2007;31/12/2007;01/01/2007 -- 31/12/2007;24.000,00 €;parcial;82_CERTIFICADO_ClammAV_OSSIM.pdf
National;Plan AVANZA;Desarrollo;Desarrollo del laboratorio S3Lab Plan Avanza - Laboratory for Smartness, Semantics and Security, como Centro de Contenidos Experimentales.;2007;01/01/2007;31/12/2009;01/01/2007 -- 31/12/2009;1.008.170,00 €;parcial;83_CERTIFICADO_S3LAB_AVANZA.pdf
National;CDTI - CENIT;CENIT;CENIT SEGUR@: Seguridad y Confianza en la Sociedad de la Información, tramo A.;2007;01/07/2007;31/12/2010;01/07/2007 -- 31/12/2010;550.000,00 €;parcial;84_CENIT SEGUR@_TRAMO_A.pdf
Regional;Contrato privado;ESIDE;ESIDE-MetalCompression: Desarrollo de un modelo de análisis de parámetros de fundición esferoidal basado en técnicas de compresión Bayesiana.;2008;01/03/2008;31/12/2008;01/03/2008 -- 31/12/2008;60.184,00 €;parcial;78_CERTIFICADO_METALCLOUD
National;Plan AVANZA;TRUSTED;TRUSTED BANKING: Secure, Trust and Resillence Platform for Banking.;2008;01/07/2008;31/12/2009;01/07/2008 -- 31/12/2009;266.394,00 €;parcial;79_CERTFICADO_TRUSTED_BANKING.pdf
Regional;INNOTEK;SECADMON;SECADMON: Provisión de servicios electrónicos seguros en administración electrónica.;2008;01/07/2008;31/12/2009;01/07/2008 -- 31/12/2009;64.692,00 €;parcial;80_CERTIFICADO_SECADMON.pdf
InterNational;ITEA2;GUARANTEE;GUARANTEE: Guardian Angel for Extended home environment [Parte I].;2009;01/01/2009;31/12/2009;01/01/2009 -- 31/12/2009;27.607,00 €;parcial;72_CERTIFICADO_GUARANTEE.pdf
Regional;Programa EUSKADIi09+;CLOMA;CLOMA: Análisis y Detección de Malware en Cloud Computing;2009;01/01/2009;31/10/2010;01/01/2009 -- 31/10/2010;45.725,00 €;parcial;73_CERTIFICADO_CLOMA.pdf
Regional;Programa EUSKADIi09+;NEGOBOT;NEGOBOT: Análisis conversacional para protección de la infancia en redes sociales;2009;01/01/2009;31/10/2010;01/01/2009 -- 31/10/2010;67.018,00 €;parcial;74_CERTIFICADO_NEGOBOT.pdf
